unique_key,mean_compound,max_compound,min_compound,mean_positive,max_positive,min_positive,mean_negative,max_negative,min_negative,mean_neutral,max_neutral,min_neutral
MRK2022-04-01,0.3199666666666667,0.4404,0.0,0.08233333333333333,0.122,0.0,0.006333333333333333,0.038,0.0,0.9111666666666668,1.0,0.855
MRK2022-04-02,0.128,0.128,0.128,0.048,0.048,0.048,0.0,0.0,0.0,0.952,0.952,0.952
MRK2022-04-03,0.63495,0.6705,0.5994,0.139,0.18,0.098,0.0,0.0,0.0,0.861,0.902,0.82
MRK2022-04-04,0.30427499999999996,0.6597,0.0,0.07350000000000001,0.157,0.0,0.0,0.0,0.0,0.9265,1.0,0.843
MRK2022-04-05,0.21348000000000003,0.5423,-0.1779,0.0678,0.143,0.0,0.014000000000000002,0.07,0.0,0.9183999999999999,1.0,0.857
MRK2022-04-06,0.47115,0.9423,0.0,0.1855,0.371,0.0,0.0,0.0,0.0,0.8145,1.0,0.629
MRK2022-04-07,0.25962,0.6808,-0.3182,0.07919999999999999,0.174,0.0,0.0318,0.09,0.0,0.889,1.0,0.736
MRK2022-04-08,0.48945,0.5574,0.4215,0.0975,0.104,0.091,0.0,0.0,0.0,0.9025000000000001,0.909,0.896
MRK2022-04-10,0.6974,0.7579,0.6369,0.18,0.233,0.127,0.0,0.0,0.0,0.8200000000000001,0.873,0.767
MRK2022-04-11,0.4215,0.4215,0.4215,0.072,0.072,0.072,0.0,0.0,0.0,0.928,0.928,0.928
MRK2022-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MRK2022-04-13,-0.12289999999999998,0.1027,-0.743,0.014799999999999999,0.043,0.0,0.0402,0.201,0.0,0.945,1.0,0.799
MRK2022-04-14,0.09063333333333333,0.8402,-0.4215,0.076,0.29,0.0,0.03833333333333333,0.08,0.0,0.8856666666666667,0.931,0.71
MRK2022-04-15,-0.04859999999999998,0.6124,-0.7096,0.0735,0.147,0.0,0.078,0.156,0.0,0.8485,0.853,0.844
MS2022-03-14,-0.28585,0.088,-0.6597,0.049,0.098,0.0,0.099,0.137,0.061,0.852,0.863,0.841
MS2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MS2022-03-16,-0.3051333333333333,0.0,-0.4939,0.037,0.072,0.0,0.07766666666666668,0.136,0.0,0.8853333333333334,1.0,0.792
MS2022-03-17,-0.17698333333333335,0.5859,-0.836,0.04033333333333334,0.101,0.0,0.09566666666666666,0.223,0.0,0.8638333333333333,0.915,0.777
MS2022-03-18,0.0936,0.8016,-0.453,0.07425000000000001,0.17,0.0,0.04925,0.099,0.0,0.8767499999999999,1.0,0.827
MS2022-03-19,0.21526666666666663,0.6597,-0.0139,0.063,0.127,0.0,0.021333333333333333,0.064,0.0,0.9156666666666666,1.0,0.873
MS2022-03-20,0.2732,0.2732,0.2732,0.057,0.057,0.057,0.0,0.0,0.0,0.943,0.943,0.943
MS2022-03-21,-0.6691,-0.5732,-0.765,0.0395,0.041,0.038,0.1595,0.192,0.127,0.8005,0.832,0.769
MS2022-03-22,0.294075,0.6705,-0.0516,0.09025,0.183,0.0,0.03925,0.09,0.0,0.87025,1.0,0.749
MS2022-03-23,-0.397075,0.0,-0.9001,0.02625,0.105,0.0,0.132,0.256,0.0,0.84175,1.0,0.744
MS2022-03-24,0.06328571428571429,0.875,-0.7356,0.10142857142857142,0.227,0.0,0.07714285714285715,0.171,0.0,0.8215714285714286,0.914,0.742
MS2022-03-25,0.3436,0.4939,0.0772,0.09275,0.142,0.067,0.0335,0.134,0.0,0.87375,0.933,0.724
