unique_key,sma,ema,mom,adx,natr,linreg,httrend,rsi,typprice,mfi,adosc,domcycle,dom_cyc_phs
UPS2021-12-08,194.67089335123697,198.88211682072452,14.621307373046875,,2.669995067970411,204.94294298332693,0,54.07316563153304,204.7077382405599,53.87420501360454,-9123011.83979559,27.244885738054375,-27.03429319578879
UPS2021-12-09,194.8292977227105,199.01767643665812,14.256393432617188,,2.6422419912109816,205.31047617408092,0,54.511820172149726,205.56669108072916,53.74622552614488,-8307762.169830799,27.4089902126225,-18.702213006210854
UPS2021-12-10,195.05273963080512,199.20633293785707,20.109771728515625,,2.606514179528738,205.70571869977084,0,55.123870774673335,208.26718139648438,54.67532190353474,-7695003.089100122,26.914715703886824,-7.585644791316895
UPS2021-12-13,195.24933488633897,199.32974829235215,17.693572998046875,,2.632606867153776,205.9566375471588,0,54.318647878467004,206.58724466959634,54.667791492892114,-7614603.5062407255,26.01920609377956,6.304791021657991
UPS2021-12-14,195.393776957194,199.39437533934802,12.999786376953125,,2.6585518864127815,206.13067279298664,0,53.592038992853155,204.16675821940103,53.74468956169185,-7748135.5503793955,25.19696412008527,22.98536902651714
UPS2021-12-15,195.57830081515843,199.50187576114806,16.607147216796875,,2.63663325580561,206.34790205996262,0,54.08266130654091,205.74855041503906,54.996878036689345,-8417638.328631401,24.48639074577209,40.97347018564891
UPS2021-12-16,195.79113260904947,199.65501634527376,19.154861450195312,,2.620355513614302,206.64035747374368,0,54.608564054215606,208.70659383138022,55.974523379839326,-9487768.02103448,23.72860785054266,53.07140412287985
UPS2021-12-17,195.96919674343533,199.77468007804848,16.025772094726562,,2.641758618115653,206.89798196832191,0,54.214688957153,208.00990295410156,54.190949349425765,-11612441.374042511,22.787620409862445,71.42157767834198
UPS2021-12-20,196.08783247205946,199.8009448359485,10.677215576171875,,2.691357907207991,206.99041577386916,0,53.04832907993562,202.79324340820312,53.04065082763441,-12544368.893602848,21.742389956653962,94.15337555761587
UPS2021-12-21,196.2542704264323,199.92852953370755,14.979415893554688,,2.639809836567803,207.2851145538218,0,54.16767576561538,205.79535420735678,53.04850787634015,-11881243.179907203,20.75266334667614,123.17283027211684
UPS2021-12-22,196.40174984402125,200.08254802416693,13.273147583007812,,2.6096112464616614,207.69447003225997,0,54.482542896359746,207.34879048665366,52.80036955764499,-10862726.107420921,19.932233984853458,160.6218243298607
UPS2021-12-23,196.5830613878038,200.31500482089712,16.318038940429688,,2.568151267995803,208.27190732478513,1,55.35061363860589,211.02978006998697,52.764174283574384,-9685511.077389598,19.303485511633813,197.8617859714585
